id	screen_name	statuses_count	favourites_count	followers_count	friends_count	name	description
2776142195	andlarryflies	11272	2432	367	115	yours	It feels like I only go backwards, every part of me says 'go ahead'.
2998438623	PuddyShine	0	0	0	36	Puddy Shine	
1537512463	ckelly713	9892	19591	453	434	caroline	hot yoga
792792913	tWINKLER_toes	2314	4390	230	224	katie winkler	Keep your chin up, someday there will be happiness again. –Robin Hood
1552106233	analyyd	1990	1351	566	1543	ánaly	Ána
883202785	taykayyyyyy	2246	1960	311	307	Boogs	
1637416376	narkiewiczz	3388	8723	315	241	Jasmine Narkiewicz	cole my one and only
2998444637	lukegraydavis	0	0	0	40	Luke Gray Davis	
2730755441	Vapo_Rob	1535	685	641	1156	Vapo Rob	Feeling • Lucky • Punk
2235526147	Naelaniii	5130	3729	57	61	Lucy Ford	Too young to hold on, too old to break free and run.
2887044594	kotankandeee	169	215	88	147	Alyssa	IG : photosby.who
2996185694	textconvotbh	0	0	0	11	Honestly	
1396166287	cornelia__22	1162	2738	263	251	cornelia swardh	most likely like my dogs more than i like you
2998505032	cwshannonart	0	0	0	12	MIN. CAROL SHANNON	
770703782	phoebe__warren	378	1218	55	41	Phoebe Warren	McGill University student. Lover of languages, history, travel, politics, and cute animal videos. I write about LGBTQ, women's, and liberal issues.
2998506382	d4c267e79dad49f	3	0	6	47	Yowane Ndagiza	yowane form Uganda
1069219495	DaltonYerex	2285	1551	237	169	D III	
2553286420	MMeows03	4	19	40	246	Meowsly	Me encantan los gatos gamer y frikis :3
597424459	SummerRayne456	13019	3761	323	90	sum sum.	east carolina university                                                                         @BroomeTrey
2998438551	SurvSolutions49	0	0	0	68	Survtech Solutions	
2423438423	jersey_dee23	12	51	23	45	Jersey	Senior15,, Stay Grindin,, Living Young, Wild && Free!.,, Live Laugh Love
20199006	AnthonyCeja13	9163	387	243	851	anthony ceja	film lover pop culture nerd
409695690	jesss_friedman	174	7	92	110	Jessica Friedman	
480132536	SeleCampos	488	504	230	420	SeleCampos♥	INTER ❤ 017
2998504312	STEWARTHANES	0	0	8	60	Stewart Hanes	
2969726958	shubrawy2015	6	2	34	756	MOHAMED TAMAN	
853429628	ughserenaa	3926	4687	248	251	S E R E N A ❤	Sweet tea is life✌... oh yeah and i spin flags
2358483872	Deepwater_MTG	351	1022	49	118	Rob Windsor	Bass Player, Magic Player, general nerd.
2995166939	SydneyMarchewka	74	5	40	170	Sydney Marchewka	idk.
277290779	bgould11	1561	2822	140	233	Swaggy B	Big Gulps, huh? All right! Well, see you later.
952764576	eberle_megan	96	180	99	209	Megan Eberle	
2998427931	BobbyZeleznik	2	0	2	22	robert zeleznik	
368309668	turnergoldsack	1477	491	226	145	Rosie T G	
336093123	CMF28	32716	22832	923	654	Clay	Gotta Watch Who U Hang Around.. #WeAtTheTop
101585345	MauraNoonan	3030	465	143	129	Maura Noonan	Christ has my heart
2996181056	espinozapauld60	0	0	1	110	Paul Dennis Espinoza	
480782889	The_YU_2	5642	1790	538	471	Andrew Yu ⚾	Play for the moment you fell in love with the game.|| #FV12
2988374410	karenmbwalters	1	0	2	3	Karen Walters	
270585042	prettybrwnxoxo	66007	3634	3197	748	Laura	IG @prettybrownxoxo
2998461125	kayci44	0	0	0	40	mason rose	
2996141772	Jacquebee123	1	0	3	59	Jacquelyn Bishop	
2452327945	Juvenil_Gambino	261	352	58	213	YA BOII FABS	Games,Games,Games,school,Games,Games,Games Co-Founder of FJMR
2996181812	NewScenePhotos	0	0	1	50	NewScene Photography	
2990674744	xChillicious	89	40	127	71	Chandler 	If That Nigga Is A Whack Nigga, Don't Fuck Wid Dat Nigga. -Albert Einstein | Don't Take Anything I Tweet Seriously!
394315172	MLGigante	24393	3312	1832	506	Nick Gigante	Director: Web/Social/Promo @MLG • Video game connoisseur • Hopeless Nintendo fan
2579362788	Turtle_Flakes	295	722	95	97	Sam	Youtuber in the making... Goal- 200
2996180678	ashleyskayyy	1	0	1	61	Ashley Klein	
2569952185	EmpyrApollo	1031	1019	288	219	EmPyr JaCoff	The Mastermind Behind EmPyr Gaming. ADHD infested. always moving either arms, legs or both. I love gummy candy and peanut m&ms. chipotle is my life. PC gaming.
452687143	mad__tag	2681	11405	245	220	Maddie Tager	
351343412	m_foleyy	3617	5448	434	396	Mary Foley	gimme more Jesus, coffee, and Parks & Rec.
2671949085	eilidhmcevoy	310	946	30	138	eilidh	15
64501752	tazgpa	20	6	13	149	Tara Gades	
2768225091	jaeli_kroll	80	327	85	188	jaeli❥	
