screen_name	favourites_count	followers_count	friends_count	name	description
ItsAshKay	155	369	803	Ashley Kay	designer, daughter of God, tech geek, traveler, run with me
rgbkrk	8929	1005	593	Kyle R Kelley	Dad, IPython/Jupyter dev, developer @Rackspace. Break things and enjoy life! Say Uh oh. It's ok. ♃
occsci	77	17	161	Andy Boughton	Scientist. Programmer. From there it all gets rather meta.
macs777	30	35	267	Doug	0
mathcontinuum	270	49	377	Sarah-Jean Aich	Geek and OU student. Share with me: #Math, #Science, #BigData, #DataScience, #MachineLearning, #AI, #Robotics, #SciFi, #Fantasy, #Art, #Music
jakobpraher	2	165	1277	Jakob Praher	Polyglot hacker && researcher, comitted to logic and maths. Technical architect @mindbreeze. Fancy giving back to the community.
nomadphp	9	18588	7601	Nomad PHP	The User Group for PHP developers without a local User Group. Join the World Wide Herd of ElePHPants.
RainuItty	6	100	263	Rainu Ittycheriah 	Leasing Agent by day, learning at #NSS by night, and still thinking of answers to the problem of the human spirit whenever else.
Glogandr	63	26	59	Logan Richardson	I'm from Illinois originally, but I currently reside in Nashville, TN. I am a recent gradute of Nashville Software School and am a junior level developer!
Sleeepies	49	308	1046	Tammy Lee	I'm a PacNW newb, a hungry runner, a terrified student of programming, and a lover of four-legged creatures. But I'm still looking for new challenges. Ideas?
ps_python	49	65	269	Puget Sound Python	Also known as Puppy (Puget Sound Programming Python), we're a fun and friendly user group dedicated to proliferating a diverse and talented Python community.
fullstackpython	3	19	30	Full Stack Python	0
dmhalejr	465	197	226	David Hale	Husband. Father. Code Tester. Hot Chicken Disciple. QA Analyst for @emmaemail
snowydayleena	0	0	69	leena	0
JuanJob11	24	43	122	Juan Job	Graduate @NashSoftware
mwhitman1983	0	4	51	Mark whitman	0
capofirstfret	3127	339	818	Phillip Carter	I'm a librarian, devout bibliophile, musician, educator, Reese's junkie, Mississippi State graduate student, and die hard football and baseball lover.
BIGJosher	25	34	162	Josh Willis	Software Developer. Vegetarian. Runner. Graduate student @UTKnoxville.
aaronchall	560	121	264	Aaron Hall, MBA	Interests: Business, Strategy, Data, Computing, Math, Python, R, Pandas, SDLC, Economics,
ashleydoes	5	64	235	Ashley Dowsley	Writer, marketer, data geek..a bit obsessed with ethnography, good design (of anything), and infographics. I like steak, granola and diagramming sentences.
fjcout	20	13	127	filipe coutinho	0
ChinEEAye	1273	232	491	Chineye Asuru	I think I'm @elonmusk        #comedyoutlaw
radix	1154	363	210	Chris Armstrong	smash the state https://t.co/8fQkx3nawq
kirkwgraves	704	402	495	Kirk Walker Graves	Writer | My 1st book (Bloomsbury) is on Kanye West | Words in @flavorwire, @wonderingsound, @pitchfork, @vice, @noiseymusic, etc. | Budding software developer
NASHbyNICOLE	557	913	1049	NASHVILLEbyNICOLE	Weekly Radio Show that spotlights local non-profits & orginizations doing good things in our community Saturdays @7am on @Lightning100 http://t.co/KSdFNtjkek
MyNashvilleFavs	0	9	115	My Nashville Favs	0
Velenje	7	109	200	Mario	0
kREX909	1	3	76	Clint H	0
Businessdotdo	28	26294	17299	BUSINESS.DO	Business, Marketing, Entrepreneurship, Startups, Personal Growth, Success, Social Media, Blogging, Design. http://t.co/Qcc1HmUUkZ | Get http://t.co/T1ALeGlk7Z!
brianecooper	1	111	530	Brian E. Cooper	Nashville,TN. Web and Mobile Applications Architect, Avid Hiker, and Wannabe Writer.
hellowebapp	92	87	178	Hello Web App	Book teaching web app development using Python and Django. Tailored for non-programmers. Written by @limedaring, funded by Kickstarter.
ozgurodabasi	3001	582	928	Özgür	Software/Interface Architect, Pythonista.. https://t.co/GUKMZhDbQr
fuzethemc	9028	457282	493531	Lance Coleman	Digital Strategist for Lil Wayne , Nicki Minaj, etc | Artist : Fuze the Mc  ||Founder of Playola & Noble Black Society | @Howardu Alum | ZooLabs #electrospit
pauldmessenger	648	33	769	Paul Messenger	0
PatViafore	4	8	54	Pat Viafore	0
CaterJason	6	10	38	Jason Cater	0
BIGMONEYMIKE6	11145	1141413	96510	BIG MONEY MIKE	I make money 24/7 FROM #PENNYSTOCKS ! !! Follow me to the LAND OF MILK & HONEY !!!!!! |#TEAMFAM HAS THE LARGEST #PENNYSTOCK NETWORK ON EARTH |SKYPE: teamfam6
WebsiteSavants	131	547	1524	Website Savants 	We provide web design, search optimization, social media marketing and advertising to small businesses. We are client-centric and proud of it.
psf_snake	0	267	436	The PSF Python	0
paystand	556	10645	5004	PayStand.com	Easily receive money thru your website or social networks. Payments & eCommerce without extra software, coding or merchant acct required. Oh and 0% Trans Fee.
gogualasha	1	5	35	Lasha Gogua	Python/Django && Linux
AskDreaDC	1	33	110	Andrea Gallego	Fitness enthusiast, business pioneer, data junkie, and mentor to the Gen Z
sifter_mon	0	5	350	jwc_romn	Nothing to see here - an info diode
BriteNashville	214	1440	861	Eventbrite Nashville	Bringing people together with live events & helping you make the most of every day in Nashville!
Gobravos18	179	37	197	A.J. Allison	GIS and geospatial technology enthusiast, Senior at UNG, super Braves and PHISH phan, guitarist. EVERYBODY LOVE EVERYBODY!!
SimplyAubs	782	837	386	Aubrey Howell	Developer of software and people at @Keen_IO. Lover of tattoos, whiskey, and rainbows. @gSchool alum
aclark4life	0	1040	387	Alex Clark ☺	Python Web Developer & Musician, hacking on @ACLARKNET, @DCPython, @NIMHgov, @PythonPillow, @djangoproject, @plone and more. Originally from Baltimore, MD, USA.
jwaggoner	420	96	350	josh waggoner	Slower than a speeding bullet. Less powerful than a locomotive. Able to leap a REALLY small bus in a single bound. |Designs: http://t.co/lCRaLvkQDV
elliewix	7	150	146	Elizabeth Wickes	@PythonCU co-organizer, UIUC GSLIS student (MS '15), data geek, programming evangelist, eager to import your CSVs. Looking for FT library jobs.
LampPostGroup	478	3127	520	Lamp Post Group	Venture incubator in Southeast TN
wgrissom	46	39	152	Will Grissom	0
HolaCorryn	672	127	179	Corryn	Senior at University of North GA studying #GIS #SpatialAnalysis #Python #RemoteSensing #Geography. I also love being outdoors. LINKEDIN: http://t.co/RkjEwA7Xuw
WillingCarol	3859	785	1939	Carol Willing	Learn. Build. Share. Open Source software and hardware developer.   FabLab San Diego Geek.  Gentle tech learning at http://t.co/SLT2NYWh24
Joseph_TDOT	206	403	1875	Joseph Wichman	0
fwiles	1101	1610	1087	Frank Wiles	Open Source Consultant specializing in scaling and performance. Python, Django, PostgreSQL. President and Founder of @revsys
ajeetm	556	198	700	Dataviz afficionado	A Data Scientist, voracious listener, and a guy with hobby-overdose ailment. An employee who dreams of being an employer.
smilecareclub	7	1466	16	SmileCareClub 	SmileCareClub invisible aligners straighten your teeth completely from home and for less than half the price of other competing systems.
kevinold	3206	663	1111	Kevin Old	Christian. Full-stack, but frontend focused. JavaScript, Node, React, Ruby. Love my wife, son, craft coffee, @nodebots, @nodecopter. Currently @Coupa.
jc4297	6	36	377	Jason Carter	0
dontusethiscode	59	857	182	James Powell	Organiser & Big Cheese(-Whiz) @NYCPythonMeetup, Python programmer & enthusiast, proud Texan!
harisibrahimkv	153	384	90	Haris Ibrahim K. V.	Former Geek herder @HasGeek. Currently a Python tamer @Eventifier & @KLPsays. An amateur writer. A 'psycho' path author.
OssAnna16	1325	148	178	Anna Ossowski	From theology to coding. #Python/#Django lover/learner, DG @pycon organizer, future speaker. I run Your Django Story on http://t.co/Nat0W5Bl8R
URTWITT	2	0	18	Michael Daniel	0
jzmiller1	17	38	83	Zac Miller	0
kellylkashuda	2693	182	291	kellz	••• ~computering~ [adventure time] reading: writing: eating: probably drinking coffee •••
uglst	50	52	300	User-Group List	Promote your user-group/tech community for free at https://t.co/i1T4FgVGEY and learn about tech community leaders at http://t.co/xsYKGJsrwK
muhkayoh	286	77	439	Matt Jordan	I write books, screenplays, comics, music, and code. I'm also a late-blooming visual artist/animator and an advocate of open source software.
digitaladlondon	0	1	40	digitaladlondon	0
kimmyfek	157	155	167	Kim Fekete	Software Eng/Full Stack Dev/Coder/Nerd
brianr	1458	2182	1515	Brian Russell	Father, artist, photographer, web geek, & Director of the Astro Code School. @astrocodeschool - Python & Django training. AmeriCorp VISTA alum
