created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Sun Dec 14 01:33:21 +0000 2014	543941781176741889	nycpython|PaulLogston	photo	0	4	543873997335965697	2	4	Sat Dec 13 21:04:00 +0000 2014	http://t.co/JtRRysznyo	RT @nycpython: @PaulLogston was a hit at #hourofcode http://t.co/JtRRysznyo
Sun Dec 14 01:32:59 +0000 2014	543941688109314049	nycpython	photo	0	4	543856323763269632	3	4	Sat Dec 13 19:53:46 +0000 2014	http://t.co/GPRnnOJReL	RT @nycpython: Volunteer mentor and participant at #hourofcode http://t.co/GPRnnOJReL
Sun Dec 14 01:32:48 +0000 2014	543941641854541824	nycpython	0	0	3	543840402550587393	5	3	Sat Dec 13 18:50:30 +0000 2014	0	RT @nycpython: "This is opening up new doors in my life." #hourofcode participant, Monica.
Sun Dec 14 01:32:41 +0000 2014	543941614939680768	teach_bx_CS|nycpython	photo	0	3	543810362475560960	2	3	Sat Dec 13 16:51:08 +0000 2014	http://t.co/6lakUXzb7q	RT @teach_bx_CS: Hard at work learning an #hourofcode @nycpython http://t.co/6lakUXzb7q
Sun Dec 14 01:32:22 +0000 2014	543941536602685441	PaulLogston	photo	0	6	543845855447756800	7	6	Sat Dec 13 19:12:10 +0000 2014	http://t.co/Q4nfupca6j	RT @PaulLogston: #hourofcode http://t.co/Q4nfupca6j
Sat Dec 13 01:27:37 +0000 2014	543577953217806336	nycpython|WomenWhoCodeNYC	0	0	4	543492461835091968	1	4	Fri Dec 12 19:47:55 +0000 2014	0	RT @nycpython: Thanks to our awesome co-host, @WomenWhoCodeNYC! Check out our community partners on the event page: http://t.co/aFZzDCQWau
Fri Dec 12 19:39:13 +0000 2014	543490273901572096	nycpython	0	0	4	543454952254091264	4	4	Fri Dec 12 17:18:52 +0000 2014	0	RT @nycpython: Over 150 participants are ready to try their first hr of code tomorrow! Thanks Digital Ocean and NYU for sponsoring! http://…
Wed Dec 03 12:45:56 +0000 2014	540124774819983361	nycpython|nyuniversity	0	5	22	0	0	0	0	0	"Don't just play on your phone, program it!" -Obama // Start w/ an #HourOfCode w/ @NYCPython, Sat 12/13 @NYUniversity http://t.co/qRdkR48ozg
Mon Nov 24 13:59:38 +0000 2014	536881832550084609	tomgauld|guardianreview	photo	0	7180	470508709173403648	5311	7180	Sun May 25 10:16:32 +0000 2014	http://t.co/nuymbAzAk7	RT @tomgauld: "My Library" (my cartoon for yesterday's @guardianreview ) http://t.co/nuymbAzAk7
Mon Nov 24 13:59:22 +0000 2014	536881766573686784	bjelline|PyDataConf	0	0	0	0	0	0	0	0	.@bjelline so great to chat with you at @PyDataConf NYC! Hope to cross paths soon :)
