retweeted_status|favorite_count	favorite_count	favorited	user|follower_count	created_at	id	user|screen_name	user|statuses_count	user|favourites_count	entities|user_mentions|screen_name	entities|hashtags|text
1636	0	0	0	Fri Jan 09 17:26:31 +0000 2015	553603737319899137	RachhTayy	22531	1185	CuteEmergency	0
1636	0	0	0	Wed Dec 24 18:52:50 +0000 2014	547827256123748352	GuzeliyaM	121	8	CuteEmergency	0
1636	0	0	0	Thu Dec 11 09:26:53 +0000 2014	542973785263972352	onTTy_	7648	1538	CuteEmergency	0
1636	0	0	0	Thu Dec 11 06:23:26 +0000 2014	542927622435385347	Hamilton__Tory	23760	754	CuteEmergency	0
1636	0	0	0	Thu Dec 11 05:41:12 +0000 2014	542916991040761857	naylitl	46	105	CuteEmergency	0
1636	0	0	0	Thu Dec 11 03:15:35 +0000 2014	542880347038691328	_leximyers_	250	208	CuteEmergency	0
1636	0	0	0	Thu Dec 11 03:11:37 +0000 2014	542879348173590528	bhubb922	9543	2939	CuteEmergency	0
1636	0	0	0	Wed Dec 10 23:30:24 +0000 2014	542823676140589058	Balsamo_Jo	2137	316	CuteEmergency	0
1636	0	0	0	Wed Dec 10 23:00:36 +0000 2014	542816177303470080	jordan_k316	1008	1138	CuteEmergency	0
1636	0	0	0	Wed Dec 10 17:09:35 +0000 2014	542727841805135872	kellen772	32834	2569	CuteEmergency	0
1636	0	0	0	Wed Dec 10 16:26:30 +0000 2014	542716999588003840	YingPus_	33960	688	CuteEmergency	0
1636	0	0	0	Wed Dec 10 11:58:32 +0000 2014	542649561945489408	boothlevine	98689	20390	CuteEmergency	0
1636	0	0	0	Wed Dec 10 11:17:16 +0000 2014	542639177863823360	maryakstephens	181	176	CuteEmergency	0
1636	0	0	0	Wed Dec 10 07:51:50 +0000 2014	542587480793694208	smile___big	378	71	CuteEmergency	0
1636	0	0	0	Wed Dec 10 05:53:37 +0000 2014	542557728489472000	antchrisxt	28370	3124	CuteEmergency	0
1636	0	0	0	Wed Dec 10 05:47:51 +0000 2014	542556277994696704	MelanieSiegel1	916	816	CuteEmergency	0
1636	0	0	0	Wed Dec 10 05:30:21 +0000 2014	542551872138403840	morgscg	12616	15250	CuteEmergency	0
1636	0	0	0	Wed Dec 10 05:01:33 +0000 2014	542544624968298497	Rach1087	13073	5227	CuteEmergency	0
1636	0	0	0	Wed Dec 10 04:19:58 +0000 2014	542534160577859585	RicOlzow	3241	3965	CuteEmergency	0
1636	0	0	0	Wed Dec 10 03:50:09 +0000 2014	542526658125643777	Darkened_Kata	10315	3996	CuteEmergency	0
1636	0	0	0	Wed Dec 10 03:46:29 +0000 2014	542525734187581441	chloe_monette	112	18	CuteEmergency	0
1636	0	0	0	Wed Dec 10 03:39:23 +0000 2014	542523949632851968	cika_gray	13129	365	CuteEmergency	0
1636	0	0	0	Wed Dec 10 03:27:36 +0000 2014	542520984385757184	_young_hwa_	1657	2118	CuteEmergency	0
1636	0	0	0	Wed Dec 10 03:18:00 +0000 2014	542518566344347650	natzo_libre	9569	12531	CuteEmergency	0
1636	0	0	0	Wed Dec 10 02:57:35 +0000 2014	542513428896550912	TheMollyBurns	102089	5172	CuteEmergency	0
1636	0	0	0	Wed Dec 10 02:15:28 +0000 2014	542502830959890432	harenosakura	19754	968	CuteEmergency	0
1636	0	0	0	Wed Dec 10 02:05:18 +0000 2014	542500270953865217	kinsey_rob	6195	3725	CuteEmergency	0
1636	0	0	0	Wed Dec 10 01:36:12 +0000 2014	542492948185612288	Oldgoat43	1216	37	CuteEmergency	0
1636	0	0	0	Wed Dec 10 01:26:23 +0000 2014	542490478894002176	Bfabino333	26540	92	CuteEmergency	0
1636	0	0	0	Wed Dec 10 01:22:40 +0000 2014	542489541756469248	ChelleDuffield	4508	203	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:52:34 +0000 2014	542481965543604225	twitsbymarge	3224	868	CuteEmergency	0
