created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Sun Jan 25 22:15:03 +0000 2015	559474556713586688	0	photo	524	176	0	0	0	0	http://t.co/jWvyzS3Gks	Sheep dog napping on his sheep friends! http://t.co/jWvyzS3Gks
Sun Jan 25 21:30:25 +0000 2015	559463323646058497	0	photo	1505	476	0	0	0	0	http://t.co/cS81YE2Kur	overly concerned dog http://t.co/cS81YE2Kur
Sun Jan 25 21:00:10 +0000 2015	559455713567993859	BarkPost	0	59	21	0	0	0	0	0	Theo and Beau STILL nap together and their pics just get more adorable - via @BarkPost https://t.co/1aaEaDZw8M
Sun Jan 25 20:40:06 +0000 2015	559450659884658688	0	photo	3293	993	0	0	0	0	http://t.co/olRaCLuNzH	He loves his dragon! http://t.co/olRaCLuNzH
Sun Jan 25 20:00:20 +0000 2015	559440654909329409	0	photo	4598	1682	0	0	0	0	http://t.co/PHT8EMQsND	When you see your best friend after a long time. http://t.co/PHT8EMQsND
Sun Jan 25 19:40:12 +0000 2015	559435588932485121	0	photo	2186	763	0	0	0	0	http://t.co/ltbkMCflrK	Baby bat eared foxes. http://t.co/ltbkMCflrK
Sun Jan 25 19:20:21 +0000 2015	559430592883093505	0	photo	4974	1469	0	0	0	0	http://t.co/bWOuCPWi42	Avalanche dog in training http://t.co/bWOuCPWi42
Sun Jan 25 18:40:09 +0000 2015	559420474107908097	0	photo	3732	845	0	0	0	0	http://t.co/yqzpdSy14i	When you're the center of attention. http://t.co/yqzpdSy14i
Sun Jan 25 18:15:14 +0000 2015	559414206060322819	0	photo	4753	1548	0	0	0	0	http://t.co/3n4yhk5Rvj	He got steak for his birthday... he couldn't believe it. http://t.co/3n4yhk5Rvj
Sun Jan 25 18:00:36 +0000 2015	559410523813711872	BarkPost	0	55	21	0	0	0	0	0	This do is so over the cat's sneak attack, but you'd never see this coming - via @barkpost https://t.co/vzLTEPDkbp
Sun Jan 25 17:30:15 +0000 2015	559402883868008448	0	photo	3286	1126	0	0	0	0	http://t.co/YybLaarkEs	That's what friends are for. http://t.co/YybLaarkEs
Sun Jan 25 16:40:06 +0000 2015	559390264612360192	0	photo	3369	1091	0	0	0	0	http://t.co/aVvXPYn2mb	1..2..3... Strike a pose! http://t.co/aVvXPYn2mb
Sun Jan 25 16:20:13 +0000 2015	559385260799311872	0	photo	1890	561	0	0	0	0	http://t.co/IOxc70Lg87	Cuddle buddies are the best buddies. http://t.co/IOxc70Lg87
Sun Jan 25 16:00:32 +0000 2015	559380308328734721	0	photo	2400	728	0	0	0	0	http://t.co/fFbgDOZilM	Newborn hedgehog babies look hilarious. http://t.co/fFbgDOZilM
Sun Jan 25 15:35:01 +0000 2015	559373885519712256	0	photo	4801	1605	0	0	0	0	http://t.co/zCviNMm8SJ	This is precious. http://t.co/zCviNMm8SJ
Sun Jan 25 15:30:12 +0000 2015	559372673466515456	BarkPost	0	63	17	0	0	0	0	0	Star Wars: The Force Awakens Trailer, As Told By Puppies and Kittens - via @BarkPost https://t.co/68ct6GmYvK
Sun Jan 25 15:05:05 +0000 2015	559366353086599168	0	photo	4222	1340	0	0	0	0	http://t.co/W8QGD4XcmE	I shaved guinea pig looks like a baby hippo. http://t.co/W8QGD4XcmE
Sun Jan 25 14:35:02 +0000 2015	559358788860657664	0	photo	2512	569	0	0	0	0	http://t.co/afp3yjYb2i	Sometimes he forgets to stick his tongue back in his mouth. http://t.co/afp3yjYb2i
Sun Jan 25 14:30:11 +0000 2015	559357570687971329	0	photo	131	44	0	0	0	0	http://t.co/yYkWpv9ihC	Save your dog from allergies, here are the 4 most common dog allergies and how to help http://t.co/RASE8N8U93||. http://t.co/yYkWpv9ihC
Sun Jan 25 14:15:11 +0000 2015	559353793599799296	BarkPost	0	60	29	0	0	0	0	0	Impatient pup battles with a glass door and it's the funniest thing ever via @BarkPost https://t.co/f6FFy9Bk2k
Sun Jan 25 14:05:04 +0000 2015	559351248257028097	0	photo	4596	1220	0	0	0	0	http://t.co/nXEF1mhzP9	Where to boss?! http://t.co/nXEF1mhzP9
Sun Jan 25 13:30:17 +0000 2015	559342493310140417	0	photo	175	54	0	0	0	0	http://t.co/D2IZe5TBK5	So You Want Your Dog To Be Famous: Here’s How You Do It http://t.co/wFCHSgzM9e||. http://t.co/D2IZe5TBK5
Sun Jan 25 13:30:00 +0000 2015	559342424456450048	0	0	71	25	0	0	0	0	0	For all you ladies - Hot firefighters helping rescue pups get adopted… this you need to see https://t.co/FG62vQg45w
Sun Jan 25 13:25:02 +0000 2015	559341174109274113	0	photo	3471	2036	0	0	0	0	http://t.co/VIog6xRuAX	But it ain't no lie, baby bye bye bye http://t.co/VIog6xRuAX
Sun Jan 25 12:35:00 +0000 2015	559328584041787392	0	photo	2554	927	0	0	0	0	http://t.co/W98D0mWT9c	pug love http://t.co/W98D0mWT9c
Sun Jan 25 12:30:18 +0000 2015	559327397661929473	0	photo	96	22	0	0	0	0	http://t.co/E3ftGGv0AT	The 5 highest paid animal actors are going to blow your mind http://t.co/vCgFiRalCv||. http://t.co/E3ftGGv0AT
Sun Jan 25 12:08:05 +0000 2015	559321809708122112	0	photo	1505	601	0	0	0	0	http://t.co/Wd8iQ6eljY	me when I see dogs http://t.co/Wd8iQ6eljY
Sun Jan 25 10:45:10 +0000 2015	559300940608856064	0	photo	3091	902	0	0	0	0	http://t.co/sYNClM08LK	that puppy face http://t.co/sYNClM08LK
Sun Jan 25 10:15:05 +0000 2015	559293371895017472	BarkPost	0	77	31	0	0	0	0	0	7 incredible and unlikely ways service dogs save humans everyday via @BarkPost https://t.co/os5bBFQ5EL
Sun Jan 25 10:00:20 +0000 2015	559289659910795264	0	photo	2967	1111	0	0	0	0	http://t.co/NqDDeZglEi	Newborn stingrays http://t.co/NqDDeZglEi
Sun Jan 25 09:25:01 +0000 2015	559280772172251137	0	photo	2012	722	0	0	0	0	http://t.co/REwugNgZMZ	best selfie ever http://t.co/REwugNgZMZ
Sun Jan 25 08:00:47 +0000 2015	559259572464934912	0	photo	2216	886	0	0	0	0	http://t.co/8SowK0mvjT	Sorry guys, I just can't hang so late anymore. http://t.co/8SowK0mvjT
Sun Jan 25 07:40:03 +0000 2015	559254355602591744	0	photo	4128	1151	0	0	0	0	http://t.co/MVHQ9gQA9t	all the fluff http://t.co/MVHQ9gQA9t
Sun Jan 25 07:10:01 +0000 2015	559246795508027392	0	photo	4086	1514	0	0	0	0	http://t.co/RlS87QIOgB	he's so plump oh my goodness http://t.co/RlS87QIOgB
Sun Jan 25 06:40:07 +0000 2015	559239271409020929	0	photo	4000	1972	0	0	0	0	http://t.co/GmHC0NFYk7	If I fits, I sits http://t.co/GmHC0NFYk7
Sun Jan 25 06:17:54 +0000 2015	559233682766958592	0	0	3953	3019	0	0	0	0	0	I need a baby tiger. https://t.co/xwXCJHPdTb
Sun Jan 25 05:39:02 +0000 2015	559223899033182208	0	photo	3438	886	0	0	0	0	http://t.co/0msOqmzuxE	Passed out http://t.co/0msOqmzuxE
Sun Jan 25 05:10:02 +0000 2015	559216602944905216	0	photo	2850	936	0	0	0	0	http://t.co/T4i8qVHOX3	Baby Ocelot . http://t.co/T4i8qVHOX3
Sun Jan 25 04:48:08 +0000 2015	559211090601455616	0	photo	5598	3285	0	0	0	0	http://t.co/grFqlITiva	Dog sneezing pictures are hilarious. http://t.co/grFqlITiva
Sun Jan 25 04:25:02 +0000 2015	559205278030110724	0	photo	3122	1847	0	0	0	0	http://t.co/bNTDS99auv	When you wake up and try to read your text messages http://t.co/bNTDS99auv
Sun Jan 25 04:00:18 +0000 2015	559199053817585664	0	photo	3704	1279	0	0	0	0	http://t.co/KTvCsCfmFb	pitbull puppy http://t.co/KTvCsCfmFb
