created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Thu Jan 29 22:01:06 +0000 2015	560920598696976384	AlanaMassey	0	0	0	0	0	0	0	0	I normally don't retweet this kind of thing, but this is fantastic and hilarious. RT @AlanaMassey http://t.co/191nZt9j8V
Thu Jan 29 20:42:25 +0000 2015	560900795357732864	arnicas	0	0	0	0	0	0	0	0	@arnicas Yeah! It's great. Such a random discovery!
Thu Jan 29 20:35:42 +0000 2015	560899104562511872	0	photo	6	5	0	0	0	0	http://t.co/PfXKwe92v0	OH MY GOD this is excellent. Auto generated poems from your tweets. http://t.co/06tHacDfWu http://t.co/PfXKwe92v0
Wed Jan 28 22:31:23 +0000 2015	560565829084123138	0	0	0	0	0	0	0	0	0	It always astounds me how difficult it is to find out basic information about my health insurance and where I can use it.
Tue Jan 27 22:34:29 +0000 2015	560204221644300288	0	0	6	0	0	0	0	0	0	Dear everyone: I love Pandas. Now, always, and forever. http://t.co/dNuFGDLATQ
Tue Jan 27 03:00:13 +0000 2015	559908709309370368	b0rk	0	0	0	0	0	0	0	0	@b0rk Jumping on the yes train!
Mon Jan 26 20:36:03 +0000 2015	559812029465526272	0	photo	3	0	0	0	0	0	http://t.co/9LsylJxcN3	Snowpocalypse 2015! http://t.co/9LsylJxcN3
Wed Jan 21 02:52:54 +0000 2015	557732541365760000	mauramaura	0	0	0	0	0	0	0	0	@mauramaura Well! That sounds pretty great too.
Wed Jan 21 02:49:12 +0000 2015	557731610997825537	mauramaura	0	0	0	0	0	0	0	0	@mauramaura You're watching in the newsroom, aren't you #madjelly
Tue Jan 20 14:04:50 +0000 2015	557539250875678720	PyTennessee|pyladies	photo	0	3	557265960949002242	3	3	Mon Jan 19 19:58:53 +0000 2015	http://t.co/cG2rmjr5du	RT @PyTennessee: Make any donation to @pyladies, show the registration desk your donation and recieve these awesome stickers! http://t.co/c…
Tue Jan 20 14:04:07 +0000 2015	557539068616376320	PyTennessee	0	2	0	0	0	0	0	0	Saw this article on Nashville hot chicken http://t.co/gsN4JDJGhv and was reminded how excited I am to go to @PyTennessee soon!
